Description;Code
Food Animals;3403
Small Animals;3404
Dentistry(all);3500
Dentistry (miscellaneous);3501
Dental Assisting;3502
Dental Hygiene;3503
Oral Surgery;3504
Orthodontics;3505
Periodontics;3506
Health Professions(all);3600
Health Professions (miscellaneous);3601
Chiropractics;3602
Complementary and Manual Therapy;3603
Emergency Medical Services;3604
Health Information Management;3605
Medical Assisting and Transcription;3606
Medical Laboratory Technology;3607
Medical Terminology;3608
Occupational Therapy;3609
Optometry;3610
Pharmacy;3611
Physical Therapy, Sports Therapy and Rehabilitation;3612
Podiatry;3613
Radiological and Ultrasound Technology;3614
Respiratory Care;3615
Speech and Hearing;3616
